username,repo_name,stars,repo_url
Genymobile,scrcpy,108000,https://github.com/Genymobile/scrcpy
neovim,neovim,81400,https://github.com/neovim/neovim
obsproject,obs-studio,58600,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,58500,https://github.com/fffaraz/awesome-cpp
git,git,51700,https://github.com/git/git
FFmpeg,FFmpeg,44700,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,41000,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,36000,https://github.com/vim/vim
curl,curl,35300,https://github.com/curl/curl
huihut,interview,34300,https://github.com/huihut/interview
mpv-player,mpv,27700,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,26000,https://github.com/ggreer/the_silver_searcher
ossrs,srs,25300,https://github.com/ossrs/srs
kovidgoyal,kitty,23700,https://github.com/kovidgoyal/kitty
google,flatbuffers,23000,https://github.com/google/flatbuffers
microsoft,vcpkg,22700,https://github.com/microsoft/vcpkg
ruby,ruby,21900,https://github.com/ruby/ruby
raysan5,raylib,21400,https://github.com/raysan5/raylib
hashcat,hashcat,20800,https://github.com/hashcat/hashcat
radareorg,radare2,20300,https://github.com/radareorg/radare2
