username,repo_name,stars,repo_url
metabase,metabase,37900,https://github.com/metabase/metabase
penpot,penpot,32200,https://github.com/penpot/penpot
logseq,logseq,31900,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,13600,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
kanaka,mal,10000,https://github.com/kanaka/mal
lk-geimfari,awesomo,9400,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5400,https://github.com/tonsky/datascript
reagent-project,reagent,4700,https://github.com/reagent-project/reagent
izhangzhihao,intellij-rainbow-brackets,4400,https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4200,https://github.com/riemann/riemann
weavejester,compojure,4100,https://github.com/weavejester/compojure
defold,defold,4100,https://github.com/defold/defold
bbatsov,clojure-style-guide,4000,https://github.com/bbatsov/clojure-style-guide
babashka,babashka,4000,https://github.com/babashka/babashka
status-im,status-mobile,3900,https://github.com/status-im/status-mobile
ring-clojure,ring,3800,https://github.com/ring-clojure/ring
clojure-emacs,cider,3500,https://github.com/clojure-emacs/cider
viebel,klipse,3100,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3000,https://github.com/tallesl/Rich-Hickey-fanclub
